Cruise,Cruise_ID_2,Month_local,Year_local,class,d_1m,d_7m,d_15m,d_25m,d_35m,d_55m,d_75m,d_100m,Total_sum
24,CAR-024,10,1997,Dinophyceae,0.04,0.2,1.1620000000000001,0.868,0.801,0.082,1.76,0.054,3.170499999999999
25,CAR-025,11,1997,Bacillariophyceae,5.58,2.5800000000000005,3.8,12.790000000000001,13.3065,0.38,1.1144999999999998,0.7164999999999999,38.4835
25,CAR-025,11,1997,Coccolithophyceae,33.3,30.4,25.46,23.04,0,1.52,1.498,0.6335,113.755
25,CAR-025,11,1997,Dinophyceae,0.7000000000000002,0.24000000000000002,0.46199999999999997,1.401,4.654999999999999,0.132,0.805,1.267,7.615
26,CAR-026,12,1997,Bacillariophyceae,717.39,1224.58,639.3340000000001,6.275,42.105000000000004,1.9695,4.895,17.851499999999998,2633.3089999999993
26,CAR-026,12,1997,Coccolithophyceae,10,5,12.5,2.777,6,4.213,9,0.7665,40.49
26,CAR-026,12,1997,Dinophyceae,0.21,1.2400000000000002,625.3480000000001,0.228,0.114,0.091,0.114,0,627.244
27,CAR-027,1,1998,Bacillariophyceae,37.57,49.86,56.230000000000004,0,4.114,0,4.476,2,147.859
27,CAR-027,1,1998,Coccolithophyceae,0,0,0,0,0,0,0,1,0
27,CAR-027,1,1998,Dinophyceae,2.81,0.24,10.798,0,0.6839999999999999,0,0.119,1,14.565000000000001
28,CAR-028,2,1998,Bacillariophyceae,10.280000000000001,138.88,127.97999999999998,19.971000000000004,4.6739999999999995,10.389000000000001,5.0145,5.422,313.5242990000001
28,CAR-028,2,1998,Coccolithophyceae,9.16,19.5,19.09,28.49,3.65,3,2,0.7665,82.9483
28,CAR-028,2,1998,Dinophyceae,1.03,0.6500000000000001,0.778,0.608,0.2953,0.114,0.1135,0.087,3.600833
29,CAR-029,3,1998,Bacillariophyceae,5128.89,962.1700000000002,4564.487,105.604,23.524,3.4785,21.999,24.375,10788.889999999998
29,CAR-029,3,1998,Coccolithophyceae,0,15,17.5,5,3.334,0,0,0,40.834
29,CAR-029,3,1998,Dinophyceae,0.41,0.26,0.125,0.062,0.5625,0.25,0,1.3125,1.7329999999999999
31,CAR-031,6,1998,Bacillariophyceae,0.5700000000000001,5.24,3.249,4.25,67.44579999999999,12.856000000000002,2.9675,0,93.63180000000003
31,CAR-031,6,1998,Coccolithophyceae,17,11,74.237,0,87.452,28.72,4.641,0,218.4095
31,CAR-031,6,1998,Dinophyceae,0.16,1.62,2.791,0,10.418000000000001,0,0.0595,0,15.000000000000002
32,CAR-032,7,1998,Bacillariophyceae,18.24,187.81999999999996,40.974999999999994,7.057,4.359999999999999,1,0,0.624,259.60599999999994
32,CAR-032,7,1998,Coccolithophyceae,3,0,7.645,0,0,0,0,0.83,10.645
32,CAR-032,7,1998,Dinophyceae,0,0.5,0.16999999999999998,0,0,0,0,0,0.6845
33,CAR-033,8,1998,Bacillariophyceae,0.06,2.29,0.479,0.479,2.6875,65.94300000000001,2.0620000000000003,0.1105,71.94600000000001
33,CAR-033,8,1998,Coccolithophyceae,3.75,6.25,1.916,3.832,1.277,1,0,0,18.025
33,CAR-033,8,1998,Dinophyceae,0.74,0.12,0.9590000000000001,0.192,0.874,0,0.721,0.096,2.9175000000000004
34,CAR-034,9,1998,Bacillariophyceae,0,14.34,184.525,3.33,2.395,0.125,0.25,3.06,204.89499999999998
34,CAR-034,9,1998,Coccolithophyceae,0,0,0,0,0,0,0,0,0
34,CAR-034,9,1998,Dinophyceae,0.36,0.28,0.125,0,0.095,0,0,0,0.8799999999999999
35,CAR-035,10,1998,Bacillariophyceae,0,1.36,1.533,0,5.3740000000000006,0.048,0,0,8.33
35,CAR-035,10,1998,Coccolithophyceae,3.97,2.06,15.622,6.372,49.875,0,0,0,77.907
35,CAR-035,10,1998,Dinophyceae,3.16,1.18,0.153,0.91,6.545999999999999,0.14400000000000002,0,0,12.123
37,CAR-037,12,1998,Bacillariophyceae,0.71,2.69,1,0,1.0065,1.208,1.375,1.0625,6.6425
37,CAR-037,12,1998,Coccolithophyceae,18.59,9.57,4.437,10.687000000000001,8.875,5.573,1.4375,0,57.744
37,CAR-037,12,1998,Dinophyceae,0.30000000000000004,1.55,0,3.4359999999999995,0.877,0.125,1.2200000000000002,0.0625,6.3525
38,CAR-038,1,1999,Bacillariophyceae,205.89000000000004,266.65000000000003,219.125,1.296,1.056,1,0,0.0625,695.5589999999999
38,CAR-038,1,1999,Coccolithophyceae,3.83,73.4,44,0,7.38,1.886,0.192,0,130.6295
38,CAR-038,1,1999,Dinophyceae,8.66,1.35,6.25,0.288,0.24,0,0,0,16.8245
39,CAR-039,2,1999,Bacillariophyceae,579.6600000000001,509.36000000000007,670.981,772.7200000000001,669.5815000000001,14.552,15.628,6.479,3219.5137
39,CAR-039,2,1999,Coccolithophyceae,35,6.35,37.5,30.009,17.9175,0.1785,0,1,126.971
39,CAR-039,2,1999,Dinophyceae,20.540000000000003,4.45,4.019,5,5.7475000000000005,0.22649999999999998,0.048,1.8145,40.074999999999996
40,CAR-040,3,1999,Bacillariophyceae,1.02,0.23,4.498,2.537,9.191,0.1875,0.8335,0.3125,17.709
40,CAR-040,3,1999,Coccolithophyceae,5.54,1.53,10.08,4.789,10.968,7.2524999999999995,1.667,1.25,40.18000000000001
40,CAR-040,3,1999,Dinophyceae,0.08,8.18,2.935,9.772,4.292,0.1585,3.1875,1.3125,25.471999999999998
41,CAR-041,4,1999,Bacillariophyceae,2.1500000000000004,9.639999999999997,5.3629999999999995,4.251,46.424499999999995,51.628499999999995,12.101999999999999,0.25,119.5405
41,CAR-041,4,1999,Coccolithophyceae,16.2,13.01,9.071,13.966000000000001,32.246,2.9695,1,0.3125,87.49100000000001
41,CAR-041,4,1999,Dinophyceae,2.2600000000000002,0.98,1.804,0,6.1455,0.096,0.0565,0,11.339
42,CAR-042,5,1999,Bacillariophyceae,24.4,13.28,15.417000000000002,8.972999999999995,43.293499999999995,4.266500000000001,21.744,12.7585,109.85499999999999
42,CAR-042,5,1999,Coccolithophyceae,17.5,18.7,28.539,25.256,17.741,21.976499999999998,116.4805,10.838000000000001,129.792
42,CAR-042,5,1999,Dinophyceae,2.8,0.28,4.861,1.045,4.4365,0.3605,2.602,0.101,13.819
43,CAR-043,6,1999,Bacillariophyceae,15.83,19.3,38.928,37.976,285.167,2.783,613.018,1090.766,400.194
43,CAR-043,6,1999,Coccolithophyceae,0,0,0,0,0,3.831,0,0,3.831
43,CAR-043,6,1999,Dinophyceae,0.43,0.74,1.785,0.9580000000000001,1.167,0.196,1.278,0,5.315
44,CAR-044,7,1999,Bacillariophyceae,42,88.41,1.464,111.79299999999996,10.046,0,1.2525,0.3125,253.985
44,CAR-044,7,1999,Coccolithophyceae,5.1,3.83,1.533,12.769999999999998,5.25,0,4.599,0,28.492
44,CAR-044,7,1999,Dinophyceae,0.97,14.18,0.504,0.797,0.096,0.125,0,0.0835,16.7655
45,CAR-045,8,1999,Bacillariophyceae,8.35,0.9000000000000001,2.62,1.8279999999999998,44.611000000000004,723.3225,23.24,0.8,781.6445
45,CAR-045,8,1999,Coccolithophyceae,9.59,2.8,20.4,51.764,11.690999999999999,11.876000000000001,1.2,0,108.127
45,CAR-045,8,1999,Dinophyceae,0.28,0.8600000000000001,0.899,0.9400000000000001,0.8,1.021,0,1.6,4.808
46,CAR-046,9,1999,Bacillariophyceae,0,0.23,0,0.25,0,65.4735,0.192,0.048,65.9645
46,CAR-046,9,1999,Coccolithophyceae,0,1.52,4,2.299,5.3655,2.2995,0.0625,0,15.4975
46,CAR-046,9,1999,Dinophyceae,0.25,0.13,0.25,0.32299999999999995,2.06,0.735,0.048,0.048,3.7625
47,CAR-047,10,1999,Bacillariophyceae,0.44,10.33,0,0,0.32,0.0835,0.7569999999999999,0.256,11.185500000000001
47,CAR-047,10,1999,Coccolithophyceae,2.61,0.33,2.688,2.9690000000000003,8.4825,7.6805,1.6535,0,24.775
47,CAR-047,10,1999,Dinophyceae,0.24,0.24,0.128,1.089,0.4175,0.32,1.5005,0,2.4615
